#method z1 z2 distance energy
HF 6.3 7.7 9.0 -101.80347234283
MP2 6.3 7.7 9.0 -104.99956894436
HF 6.3 7.7 9.2 -109.73677673010
MP2 6.3 7.7 9.2 -116.85527401911
HF 6.3 7.7 9.4 -109.73502498357
MP2 6.3 7.7 9.4 -117.03166768744
HF 6.3 7.7 9.8 -109.89851686576
MP2 6.3 7.7 9.8 -113.85757535515
HF 6.2 7.8 0.6 -108.72803223506
MP2 6.2 7.8 0.6 -109.05652456618
CCSD 6.2 7.8 0.6 -109.06634755245
HF 6.2 7.8 0.8 -110.90266492110
MP2 6.2 7.8 0.8 -111.24391794071
CCSD 6.2 7.8 0.8 -111.25230174067
HF 6.2 7.8 1.0 -111.38653216726
MP2 6.2 7.8 1.0 -111.75399902519
CCSD 6.2 7.8 1.0 -111.75701255733
HF 6.2 7.8 1.2 -111.38523069784
MP2 6.2 7.8 1.2 -111.79020027343
CCSD 6.2 7.8 1.2 -111.78201941732
HF 6.2 7.8 1.4 -111.25984989898
MP2 6.2 7.8 1.4 -111.71200772693
CCSD 6.2 7.8 1.4 -111.68576347392
HF 6.2 7.8 1.6 -111.12157429951
MP2 6.2 7.8 1.6 -111.61566291118
CCSD 6.2 7.8 1.6 -111.57530168487
HF 6.2 7.8 1.8 -111.01162566961
MP2 6.2 7.8 1.8 -111.45102914344
CCSD 6.2 7.8 1.8 -111.48453631345
HF 6.2 7.8 2.0 -110.95479465167
MP2 6.2 7.8 2.0 -111.29606384590
CCSD 6.2 7.8 2.0 -111.42800071653
HF 6.2 7.8 2.8 -110.90989764147
MP2 6.2 7.8 2.8 -111.18982596206
CCSD 6.2 7.8 2.8 -111.24907647482
HF 6.2 7.8 3.0 -110.90796723808
MP2 6.2 7.8 3.0 -111.18612457683
CCSD 6.2 7.8 3.0 -111.24739920510
HF 6.2 7.8 3.2 -110.90676042698
MP2 6.2 7.8 3.2 -111.18394035425
CCSD 6.2 7.8 3.2 -111.24628155958
HF 6.2 7.8 3.4 -103.29527362782
MP2 6.2 7.8 3.4 -107.81469602550
HF 6.2 7.8 3.6 -103.43658749657
MP2 6.2 7.8 3.6 -104.91192485773
HF 6.2 7.8 3.8 -110.54808494615
MP2 6.2 7.8 3.8 -112.04574357562
HF 6.2 7.8 4.0 -110.54316957236
MP2 6.2 7.8 4.0 -112.11636744672
HF 6.2 7.8 4.2 -110.43639635510
MP2 6.2 7.8 4.2 -112.90022164171
HF 6.2 7.8 4.6 -110.90411405117
MP2 6.2 7.8 4.6 -111.17991427069
CCSD 6.2 7.8 4.6 -111.24369930941
HF 6.2 7.8 4.8 -102.39251165708
MP2 6.2 7.8 4.8 -103.51750324356
HF 6.2 7.8 5.6 -102.10025118577
MP2 6.2 7.8 5.6 -576.1146916182
HF 6.2 7.8 5.8 -102.69475575447
MP2 6.2 7.8 5.8 -104.12234644840
HF 6.2 7.8 7.0 -102.48179408999
MP2 6.2 7.8 7.0 -104.63962161637
HF 6.2 7.8 7.2 -110.35447717346
MP2 6.2 7.8 7.2 -115.30309298990
HF 6.2 7.8 7.4 -101.91350693295
MP2 6.2 7.8 7.4 -979.8851012859
HF 6.2 7.8 7.6 -101.90113095897
MP2 6.2 7.8 7.6 -836.4165556249
HF 6.2 7.8 8.0 -101.62903099033
MP2 6.2 7.8 8.0 -981.8828402917
HF 6.2 7.8 8.4 -101.56382280512
MP2 6.2 7.8 8.4 -807.488041195324
HF 6.2 7.8 9.0 -101.56883602801
MP2 6.2 7.8 9.0 -468.2172484114
HF 6.2 7.8 9.2 -102.49175168869
MP2 6.2 7.8 9.2 -104.35933758514
HF 6.2 7.8 9.4 -102.22393549864
MP2 6.2 7.8 9.4 -106.54468965756
HF 6.2 7.8 9.6 -101.99974592835
MP2 6.2 7.8 9.6 -104.61077849078
HF 6.2 7.8 9.8 -101.91860295293
MP2 6.2 7.8 9.8 -104.62116889116
HF 6.2 7.8 10.0 -101.82874112059
MP2 6.2 7.8 10.0 -103.06201948077
HF 6.1 7.9 0.6 -109.36202093094
MP2 6.1 7.9 0.6 -109.69001534600
CCSD 6.1 7.9 0.6 -109.69983204178
HF 6.1 7.9 0.8 -111.53558602018
MP2 6.1 7.9 0.8 -111.87580267601
CCSD 6.1 7.9 0.8 -111.88430010631
HF 6.1 7.9 1.0 -112.02499906513
MP2 6.1 7.9 1.0 -112.38987455791
CCSD 6.1 7.9 1.0 -112.39347306446
HF 6.1 7.9 1.2 -112.03083170027
MP2 6.1 7.9 1.2 -112.42987122242
CCSD 6.1 7.9 1.2 -112.42365188116
HF 6.1 7.9 1.4 -111.91235666640
MP2 6.1 7.9 1.4 -112.35280056786
CCSD 6.1 7.9 1.4 -112.33158479406
HF 6.1 7.9 1.6 -111.78000069486
MP2 6.1 7.9 1.6 -112.25479619458
CCSD 6.1 7.9 1.6 -112.22397537913
HF 6.1 7.9 1.8 -111.67373381529
MP2 6.1 7.9 1.8 -112.10298342442
CCSD 6.1 7.9 1.8 -112.13470270616
HF 6.1 7.9 2.0 -111.61562390237
MP2 6.1 7.9 2.0 -111.95996265247
CCSD 6.1 7.9 2.0 -112.07754116948
HF 6.1 7.9 3.2 -111.21841198697
MP2 6.1 7.9 3.2 -112.49759007302
HF 6.1 7.9 3.4 -111.15897599287
MP2 6.1 7.9 3.4 -112.85075074402
HF 6.1 7.9 3.6 -111.20828263216
MP2 6.1 7.9 3.6 -112.62608172435
HF 6.1 7.9 4.0 -103.23382244670
MP2 6.1 7.9 4.0 -103.72281003812
HF 6.1 7.9 4.4 -103.77710275359
MP2 6.1 7.9 4.4 -104.66140726348
HF 6.1 7.9 4.6 -111.55637904795
MP2 6.1 7.9 4.6 -111.83077841991
CCSD 6.1 7.9 4.6 -111.89445602767
HF 6.1 7.9 5.8 -102.83255486316
MP2 6.1 7.9 5.8 -820.7403807270
HF 6.1 7.9 7.8 -102.03710146278
MP2 6.1 7.9 7.8 -946.5208513470
HF 6.1 7.9 8.0 -102.02048164888
MP2 6.1 7.9 8.0 -104.82259048912
HF 6.1 7.9 8.2 -102.01378265872
MP2 6.1 7.9 8.2 -103.98554406263
HF 6.1 7.9 8.4 -102.08820864610
MP2 6.1 7.9 8.4 -105.45440403929
HF 6.1 7.9 8.8 -101.86086678206
MP2 6.1 7.9 8.8 -149.845661749733
HF 6.1 7.9 9.0 -101.76561562915
MP2 6.1 7.9 9.0 -930.0904836571
HF 6.1 7.9 9.2 -101.76546122611
MP2 6.1 7.9 9.2 -959.1430128268
HF 6.1 7.9 9.4 -101.83967309198
MP2 6.1 7.9 9.4 -100.38288225938
HF 6.1 7.9 9.6 -101.81639648264
MP2 6.1 7.9 9.6 -101.83619176388
HF 6.1 7.9 9.8 -101.72853552433
MP2 6.1 7.9 9.8 -985.8157495693
HF 6.1 7.9 10.0 -101.71698767738
MP2 6.1 7.9 10.0 -997.8382127944
HF 6.0 8.0 0.6 -110.07026798150
MP2 6.0 8.0 0.6 -110.39769822536
CCSD 6.0 8.0 0.6 -110.40751036137
HF 6.0 8.0 0.8 -112.24245988209
MP2 6.0 8.0 0.8 -112.58153014828
CCSD 6.0 8.0 0.8 -112.59015616956
HF 6.0 8.0 1.0 -112.73785451090
MP2 6.0 8.0 1.0 -113.09996815672
CCSD 6.0 8.0 1.0 -113.10418812608
HF 6.0 8.0 1.2 -112.75140914501
MP2 6.0 8.0 1.2 -113.14435122541
CCSD 6.0 8.0 1.2 -113.14011439868
HF 6.0 8.0 1.4 -112.64041958826
MP2 6.0 8.0 1.4 -113.06928402603
CCSD 6.0 8.0 1.4 -113.05287797660
HF 6.0 8.0 1.6 -112.51435495125
MP2 6.0 8.0 1.6 -112.97150684755
CCSD 6.0 8.0 1.6 -112.94871890096
HF 6.0 8.0 1.8 -112.41145567699
MP2 6.0 8.0 1.8 -112.83441538304
CCSD 6.0 8.0 1.8 -112.86099184110
HF 6.0 8.0 2.0 -112.35097892783
MP2 6.0 8.0 2.0 -112.70251270339
CCSD 6.0 8.0 2.0 -112.80223605693
HF 6.0 8.0 2.6 -112.29165203621
MP2 6.0 8.0 2.6 -112.57994436162
CCSD 6.0 8.0 2.6 -112.63085912364
HF 6.0 8.0 3.0 -112.28125041687
MP2 6.0 8.0 3.0 -112.55946924988
CCSD 6.0 8.0 3.0 -112.61889610610
HF 6.0 8.0 3.2 -106.25599156864
MP2 6.0 8.0 3.2 -962.4731871803
HF 6.0 8.0 3.4 -104.93690646304
MP2 6.0 8.0 3.4 -216.2454750389
HF 6.0 8.0 3.6 -111.89489760561
MP2 6.0 8.0 3.6 -113.54732407767
HF 6.0 8.0 4.2 -112.27457390695
MP2 6.0 8.0 4.2 -112.54775765552
CCSD 6.0 8.0 4.2 -112.61117942480
HF 6.0 8.0 4.4 -112.27432663512
MP2 6.0 8.0 4.4 -112.54741835866
CCSD 6.0 8.0 4.4 -112.61096615334
HF 6.0 8.0 4.6 -112.27414101946
MP2 6.0 8.0 4.6 -112.54717497239
CCSD 6.0 8.0 4.6 -112.61081111102
HF 6.0 8.0 5.0 -111.68698050103
MP2 6.0 8.0 5.0 -110.09979779164
HF 6.0 8.0 5.2 -112.27379833740
MP2 6.0 8.0 5.2 -112.54675322932
CCSD 6.0 8.0 5.2 -112.61053423307
HF 6.0 8.0 5.4 -111.50762579072
MP2 6.0 8.0 5.4 -111.41605050910
HF 6.0 8.0 5.6 -111.80810778995
MP2 6.0 8.0 5.6 -114.82224576787
HF 6.0 8.0 5.8 -105.76160042905
MP2 6.0 8.0 5.8 -102.78610400982
HF 6.0 8.0 6.0 -111.80013691521
MP2 6.0 8.0 6.0 -115.07324000328
HF 6.0 8.0 6.6 -102.09869225605
MP2 6.0 8.0 6.6 -384.29766728913
HF 6.0 8.0 6.8 -102.53495792803
MP2 6.0 8.0 6.8 -104.85082578231
HF 6.0 8.0 7.4 -102.66324332153
MP2 6.0 8.0 7.4 -105.22171094964
HF 6.0 8.0 7.6 -102.48245753045
MP2 6.0 8.0 7.6 -103.04223999070
HF 6.0 8.0 7.8 -102.11040502022
MP2 6.0 8.0 7.8 -105.32939466314
HF 6.0 8.0 8.2 -101.72417669586
MP2 6.0 8.0 8.2 -239.4781317498
HF 6.0 8.0 8.4 -101.73824517558
MP2 6.0 8.0 8.4 -115.32000936863
HF 6.0 8.0 8.6 -101.79462346258
MP2 6.0 8.0 8.6 -141.57017658839
HF 6.0 8.0 8.8 -101.87584728806
MP2 6.0 8.0 8.8 -709.7039077087
HF 6.0 8.0 9.2 -102.17378835396
MP2 6.0 8.0 9.2 -105.09619037014
HF 6.0 8.0 9.4 -102.08630083967
MP2 6.0 8.0 9.4 -918.1784266876
HF 6.0 8.0 10.0 -102.05741164076
MP2 6.0 8.0 10.0 -104.39647801666
HF 5.9 8.1 0.6 -110.85266511587
MP2 5.9 8.1 0.6 -111.17946254216
CCSD 5.9 8.1 0.6 -111.18927253267
HF 5.9 8.1 0.8 -113.02312146055
MP2 5.9 8.1 0.8 -113.36093891594
CCSD 5.9 8.1 0.8 -113.36970849879
HF 5.9 8.1 1.0 -113.52486528346
MP2 5.9 8.1 1.0 -113.88408015282
CCSD 5.9 8.1 1.0 -113.88894912954
HF 5.9 8.1 1.2 -113.54664878627
MP2 5.9 8.1 1.2 -113.93343983158
CCSD 5.9 8.1 1.2 -113.93116164285
HF 5.9 8.1 1.4 -113.44365121904
MP2 5.9 8.1 1.4 -113.86132070215
CCSD 5.9 8.1 1.4 -113.84938151923
HF 5.9 8.1 1.6 -113.32420322592
MP2 5.9 8.1 1.6 -113.76546865424
CCSD 5.9 8.1 1.6 -113.74924848668
HF 5.9 8.1 1.8 -113.22457052972
MP2 5.9 8.1 1.8 -113.64338898339
CCSD 5.9 8.1 1.8 -113.66328195894
HF 5.9 8.1 2.0 -113.16122158625
MP2 5.9 8.1 2.0 -113.52298305568
CCSD 5.9 8.1 2.0 -113.60267024053
HF 5.9 8.1 4.0 -103.45272665314
MP2 5.9 8.1 4.0 -105.08542979382
HF 5.9 8.1 4.2 -113.06033272456
MP2 5.9 8.1 4.2 -113.33230639167
CCSD 5.9 8.1 4.2 -113.39551979371
HF 5.9 8.1 4.4 -104.04255025356
MP2 5.9 8.1 4.4 -105.96322594641
HF 5.9 8.1 4.6 -112.67599875202
MP2 5.9 8.1 4.6 -114.68315059054
HF 5.9 8.1 4.8 -113.05909433327
MP2 5.9 8.1 4.8 -113.33068472104
CCSD 5.9 8.1 4.8 -113.39427560156
HF 5.9 8.1 5.0 -113.05883515672
MP2 5.9 8.1 5.0 -113.33038135895
CCSD 5.9 8.1 5.0 -113.39404230896
HF 5.9 8.1 5.2 -113.05862163802
MP2 5.9 8.1 5.2 -113.33013979307
CCSD 5.9 8.1 5.2 -113.39385434644
HF 5.9 8.1 5.4 -113.05844353074
MP2 5.9 8.1 5.4 -113.32994340321
CCSD 5.9 8.1 5.4 -113.39369955295
HF 5.9 8.1 5.6 -108.48931127099
MP2 5.9 8.1 5.6 -951.1675908108
HF 5.9 8.1 5.8 -111.04751354302
MP2 5.9 8.1 5.8 -111.06465693377
HF 5.9 8.1 6.0 -113.05805453469
MP2 5.9 8.1 6.0 -113.32952761969
CCSD 5.9 8.1 6.0 -113.39336435506
HF 5.9 8.1 6.2 -113.05795839332
MP2 5.9 8.1 6.2 -113.32942709329
CCSD 5.9 8.1 6.2 -113.39328156057
HF 5.9 8.1 6.4 -112.62497568163
MP2 5.9 8.1 6.4 -115.72501735275
HF 5.9 8.1 6.6 -111.88454065233
MP2 5.9 8.1 6.6 -464.26638908302
HF 5.9 8.1 6.8 -112.61812519869
MP2 5.9 8.1 6.8 -115.95792952776
HF 5.9 8.1 7.0 -112.61503535573
MP2 5.9 8.1 7.0 -116.07440471462
HF 5.9 8.1 7.2 -112.61213759528
MP2 5.9 8.1 7.2 -116.19090347780
HF 5.9 8.1 7.4 -112.60941270694
MP2 5.9 8.1 7.4 -116.30743407188
HF 5.9 8.1 7.6 -112.60684421473
MP2 5.9 8.1 7.6 -116.42400389802
HF 5.9 8.1 7.8 -112.60441786764
MP2 5.9 8.1 7.8 -116.54061937857
HF 5.8 8.2 0.6 -111.70909325331
MP2 5.8 8.2 0.6 -112.03518665255
CCSD 5.8 8.2 0.6 -112.04499760041
HF 5.8 8.2 0.8 -113.87739054353
MP2 5.8 8.2 0.8 -114.21385252087
CCSD 5.8 8.2 0.8 -114.22278045570
HF 5.8 8.2 1.0 -114.38577815471
MP2 5.8 8.2 1.0 -114.74198926797
CCSD 5.8 8.2 1.0 -114.74752598985
HF 5.8 8.2 1.2 -114.41621033094
MP2 5.8 8.2 1.2 -114.79689601778
CCSD 5.8 8.2 1.2 -114.79651487203
HF 5.8 8.2 1.4 -114.32163404851
MP2 5.8 8.2 1.4 -114.72867798407
CCSD 5.8 8.2 1.4 -114.72078444407
HF 5.8 8.2 1.6 -114.20909704448
MP2 5.8 8.2 1.6 -114.63615909866
CCSD 5.8 8.2 1.6 -114.62523016520
HF 5.8 8.2 1.8 -114.11287707549
MP2 5.8 8.2 1.8 -114.52814265627
CCSD 5.8 8.2 1.8 -114.54143299953
HF 5.8 8.2 2.0 -114.04679980957
MP2 5.8 8.2 2.0 -114.42028831200
CCSD 5.8 8.2 2.0 -114.47947546555
HF 5.8 8.2 2.2 -114.00530282465
MP2 5.8 8.2 2.2 -114.35048815865
CCSD 5.8 8.2 2.2 -114.43395164150
HF 5.8 8.2 4.0 -104.08551332059
MP2 5.8 8.2 4.0 -104.73513692105
HF 5.8 8.2 4.2 -113.91344240291
MP2 5.8 8.2 4.2 -114.18544141847
CCSD 5.8 8.2 4.2 -114.25481168815
HF 5.8 8.2 4.8 -113.91080936032
MP2 5.8 8.2 4.8 -114.18123516944
CCSD 5.8 8.2 4.8 -114.24363919288
HF 5.8 8.2 5.0 -113.91025521942
MP2 5.8 8.2 5.0 -114.18050202355
CCSD 5.8 8.2 5.0 -114.24335712833
HF 5.8 8.2 5.6 -103.39612983904
MP2 5.8 8.2 5.6 -107.07696357198
HF 5.8 8.2 5.8 -103.32879909513
MP2 5.8 8.2 5.8 -104.89752406351
HF 5.8 8.2 6.4 -103.13179611661
MP2 5.8 8.2 6.4 -815.0514832597
HF 5.8 8.2 7.4 -102.81645364889
MP2 5.8 8.2 7.4 -105.47245789132
HF 5.8 8.2 7.6 -102.75261683404
MP2 5.8 8.2 7.6 -106.59949562555
HF 5.8 8.2 8.4 -102.57858654458
MP2 5.8 8.2 8.4 -100.25504024102
HF 5.8 8.2 9.2 -102.48175112873
MP2 5.8 8.2 9.2 -103.66220453132
HF 5.8 8.2 9.4 -102.47417200315
MP2 5.8 8.2 9.4 -104.07825593730
HF 5.8 8.2 9.8 -102.54962437037
MP2 5.8 8.2 9.8 -105.47982081518
HF 5.8 8.2 10.0 -102.48353036245
MP2 5.8 8.2 10.0 -105.27539004567
HF 5.7 8.3 0.6 -112.63942263392
MP2 5.7 8.3 0.6 -112.96473807964
CCSD 5.7 8.3 0.6 -112.97455377367
HF 5.7 8.3 0.8 -114.80507231070
MP2 5.7 8.3 0.8 -115.14007996200
CCSD 5.7 8.3 0.8 -115.14918065769
HF 5.7 8.3 1.0 -115.32032124913
MP2 5.7 8.3 1.0 -115.67345300842
CCSD 5.7 8.3 1.0 -115.67966783025
HF 5.7 8.3 1.2 -115.35973010884
MP2 5.7 8.3 1.2 -115.73443750743
CCSD 5.7 8.3 1.2 -115.73586271533
HF 5.7 8.3 1.4 -115.27392468447
MP2 5.7 8.3 1.4 -115.67103061155
CCSD 5.7 8.3 1.4 -115.66672817225
HF 5.7 8.3 1.6 -115.16857401123
MP2 5.7 8.3 1.6 -115.58293896222
CCSD 5.7 8.3 1.6 -115.57628136525
HF 5.7 8.3 1.8 -115.07614127306
MP2 5.7 8.3 1.8 -115.48725914874
CCSD 5.7 8.3 1.8 -115.49521016803
HF 5.7 8.3 2.0 -115.00810184111
MP2 5.7 8.3 2.0 -115.39274546287
CCSD 5.7 8.3 2.0 -115.43289648024
HF 5.7 8.3 2.2 -114.96180650879
MP2 5.7 8.3 2.2 -115.32513152530
CCSD 5.7 8.3 2.2 -115.38608586009
HF 5.7 8.3 2.4 -114.92924858737
MP2 5.7 8.3 2.4 -115.27846427864
CCSD 5.7 8.3 2.4 -115.34988611183
HF 5.7 8.3 3.2 -114.86308640736
MP2 5.7 8.3 3.2 -115.17628872842
CCSD 5.7 8.3 3.2 -115.26789565342
HF 5.7 8.3 3.6 -106.15869147024
MP2 5.7 8.3 3.6 -107.37179216180
HF 5.7 8.3 3.8 -105.11392258746
MP2 5.7 8.3 3.8 -850.6980729069
HF 5.7 8.3 4.2 -114.83656099911
MP2 5.7 8.3 4.2 -115.12418579399
CCSD 5.7 8.3 4.2 -115.16306721269
HF 5.7 8.3 4.8 -104.41341975818
MP2 5.7 8.3 4.8 -102.40536842057
HF 5.7 8.3 5.0 -104.23867574650
MP2 5.7 8.3 5.0 -137.66629841565
HF 5.7 8.3 5.2 -104.20432897293
MP2 5.7 8.3 5.2 -105.99512342672
HF 5.7 8.3 5.6 -104.14921475991
MP2 5.7 8.3 5.6 -106.23222025232
HF 5.7 8.3 5.8 -104.00574872996
MP2 5.7 8.3 5.8 -106.13790692943
HF 5.7 8.3 6.0 -104.02602589078
MP2 5.7 8.3 6.0 -106.32823221449
HF 5.7 8.3 6.2 -104.00423754684
MP2 5.7 8.3 6.2 -106.18866007133
HF 5.7 8.3 6.4 -103.92406397399
MP2 5.7 8.3 6.4 -106.88190165347
HF 5.7 8.3 6.6 -103.88321776251
MP2 5.7 8.3 6.6 -106.06004972329
HF 5.7 8.3 7.6 -103.84151086230
MP2 5.7 8.3 7.6 -105.73780211396
HF 5.7 8.3 7.8 -103.53669138974
MP2 5.7 8.3 7.8 -105.99777664827
HF 5.7 8.3 8.0 -103.59636632456
MP2 5.7 8.3 8.0 -105.59597360825
HF 5.7 8.3 8.2 -103.42744324322
MP2 5.7 8.3 8.2 -106.27405357557
HF 5.7 8.3 8.8 -103.38801507833
MP2 5.7 8.3 8.8 -105.65101122333
HF 5.7 8.3 9.0 -103.40224931171
MP2 5.7 8.3 9.0 -104.80528149129
HF 5.7 8.3 9.2 -114.82073279713
MP2 5.7 8.3 9.2 -115.08915793224
CCSD 5.7 8.3 9.2 -115.15314438526
HF 5.6 8.4 0.6 -113.64351294284
MP2 5.6 8.4 0.6 -113.96797365652
CCSD 5.6 8.4 0.6 -113.97779854783
HF 5.6 8.4 0.8 -115.80595789228
MP2 5.6 8.4 0.8 -116.13941616710
CCSD 5.6 8.4 0.8 -116.14870344596
HF 5.6 8.4 1.0 -116.32820549088
MP2 5.6 8.4 1.0 -116.67820831998
CCSD 5.6 8.4 1.0 -116.68510388408
HF 5.6 8.4 1.2 -116.37682406728
MP2 5.6 8.4 1.2 -116.74574192636
CCSD 5.6 8.4 1.2 -116.74886280082
HF 5.6 8.4 1.4 -116.30005830198
MP2 5.6 8.4 1.4 -116.68797033867
CCSD 5.6 8.4 1.4 -116.68680926792
HF 5.6 8.4 1.6 -116.20215599787
MP2 5.6 8.4 1.6 -116.60511855717
CCSD 5.6 8.4 1.6 -116.60196965219
HF 5.6 8.4 1.8 -116.11405566323
MP2 5.6 8.4 1.8 -116.51977060329
CCSD 5.6 8.4 1.8 -116.52424713487
HF 5.6 8.4 2.0 -116.04532683390
MP2 5.6 8.4 2.0 -116.43824808693
CCSD 5.6 8.4 2.0 -116.46260108762
HF 5.6 8.4 2.2 -115.99524179603
MP2 5.6 8.4 2.2 -116.37552677023
CCSD 5.6 8.4 2.2 -116.41622778253
HF 5.6 8.4 2.4 -115.95826839557
MP2 5.6 8.4 2.4 -116.33093208535
CCSD 5.6 8.4 2.4 -116.38139847725
HF 5.6 8.4 2.6 -115.93006976580
MP2 5.6 8.4 2.6 -116.29772099019
CCSD 5.6 8.4 2.6 -116.35538408385
HF 5.6 8.4 4.0 -115.68003991964
MP2 5.6 8.4 4.0 -116.70478668532
HF 5.6 8.4 4.2 -115.83837810792
MP2 5.6 8.4 4.2 -116.19072538223
CCSD 5.6 8.4 4.2 -116.28712212187
HF 5.6 8.4 4.8 -104.48182682141
MP2 5.6 8.4 4.8 -101.33098022423
HF 5.6 8.4 5.2 -104.78588747206
MP2 5.6 8.4 5.2 -106.77253679137
HF 5.6 8.4 6.0 -104.59875503403
MP2 5.6 8.4 6.0 -922.2419598290
HF 5.6 8.4 6.2 -104.12792344253
MP2 5.6 8.4 6.2 -982.8544625985
HF 5.6 8.4 6.4 -104.40711583184
MP2 5.6 8.4 6.4 -106.56047731366
HF 5.6 8.4 6.6 -104.45854736371
MP2 5.6 8.4 6.6 -106.63802988354
HF 5.6 8.4 6.8 -104.44044820104
MP2 5.6 8.4 6.8 -106.43560888582
HF 5.6 8.4 7.0 -104.34752585238
MP2 5.6 8.4 7.0 -110.34045162575
HF 5.6 8.4 7.2 -104.28923759652
MP2 5.6 8.4 7.2 -981.4209552891
HF 5.6 8.4 7.4 -104.24331167151
MP2 5.6 8.4 7.4 -105.70730450554
HF 5.6 8.4 7.6 -104.20321961943
MP2 5.6 8.4 7.6 -100.30552046663
HF 5.6 8.4 7.8 -104.16671495177
MP2 5.6 8.4 7.8 -106.90925349841
HF 5.6 8.4 8.0 -104.13293870716
MP2 5.6 8.4 8.0 -106.53606588734
HF 5.6 8.4 8.2 -104.10152875023
MP2 5.6 8.4 8.2 -106.40040268516
HF 5.6 8.4 8.4 -104.07230045744
MP2 5.6 8.4 8.4 -106.31913800279
HF 5.6 8.4 8.6 -104.04512189665
MP2 5.6 8.4 8.6 -106.25825704720
HF 5.6 8.4 8.8 -104.01986676478
MP2 5.6 8.4 8.8 -106.20758700908
HF 5.6 8.4 9.0 -103.99640022551
MP2 5.6 8.4 9.0 -106.16265976593
HF 5.5 8.5 0.6 -114.72121342486
MP2 5.5 8.5 0.6 -115.04473965892
CCSD 5.5 8.5 0.6 -115.05457883150
HF 5.5 8.5 0.8 -116.87982491443
MP2 5.5 8.5 0.8 -117.21164244581
CCSD 5.5 8.5 0.8 -117.22112934999
HF 5.5 8.5 1.0 -117.40912610345
MP2 5.5 8.5 1.0 -117.75597251434
CCSD 5.5 8.5 1.0 -117.76354460918
HF 5.5 8.5 1.2 -117.46709098388
MP2 5.5 8.5 1.2 -117.83044976952
CCSD 5.5 8.5 1.2 -117.83514423409
HF 5.5 8.5 1.4 -117.39955310404
MP2 5.5 8.5 1.4 -117.77902067443
CCSD 5.5 8.5 1.4 -117.78058324811
HF 5.5 8.5 1.6 -117.30934612262
MP2 5.5 8.5 1.6 -117.70200058638
CCSD 5.5 8.5 1.6 -117.70181201302
HF 5.5 8.5 1.8 -117.22621799437
MP2 5.5 8.5 1.8 -117.62514405902
CCSD 5.5 8.5 1.8 -117.62805724670
HF 5.5 8.5 2.0 -117.15838428097
MP2 5.5 8.5 2.0 -117.55484338523
CCSD 5.5 8.5 2.0 -117.56789971745
HF 5.5 8.5 2.2 -117.10606237665
MP2 5.5 8.5 2.2 -117.49849861274
CCSD 5.5 8.5 2.2 -117.52256862139
HF 5.5 8.5 2.4 -117.06585506517
MP2 5.5 8.5 2.4 -117.45767000748
CCSD 5.5 8.5 2.4 -117.48997706658
HF 5.5 8.5 2.6 -117.03430154508
MP2 5.5 8.5 2.6 -117.42816018521
CCSD 5.5 8.5 2.6 -117.46710548239
HF 5.5 8.5 4.2 -116.92434542421
MP2 5.5 8.5 4.2 -117.36674138234
CCSD 5.5 8.5 4.2 -117.41360399384
HF 5.5 8.5 4.8 -116.78365698134
MP2 5.5 8.5 4.8 -117.85366915657
HF 5.5 8.5 5.6 -105.25998265273
MP2 5.5 8.5 5.6 -107.80572099246
HF 5.5 8.5 5.8 -105.02316380846
MP2 5.5 8.5 5.8 -107.09020942346
HF 5.5 8.5 6.0 -104.89318082993
MP2 5.5 8.5 6.0 -106.77842142966
HF 5.5 8.5 6.2 -104.94267956933
MP2 5.5 8.5 6.2 -109.42780282906
HF 5.5 8.5 6.4 -104.93058088561
MP2 5.5 8.5 6.4 -106.71701046354
HF 5.4 8.6 0.6 -115.87236298746
MP2 5.4 8.6 0.6 -116.19487192578
CCSD 5.4 8.6 0.6 -116.20473105122
HF 5.4 8.6 0.8 -118.02643801724
MP2 5.4 8.6 0.8 -118.35652691973
CCSD 5.4 8.6 0.8 -118.36622553300
HF 5.4 8.6 1.0 -118.56276411747
MP2 5.4 8.6 1.0 -118.90644444841
CCSD 5.4 8.6 1.0 -118.91468298800
HF 5.4 8.6 1.2 -118.63011575133
MP2 5.4 8.6 1.2 -118.98816890511
CCSD 5.4 8.6 1.2 -118.99431086956
HF 5.4 8.6 1.4 -118.57191456241
MP2 5.4 8.6 1.4 -118.94365404569
CCSD 5.4 8.6 1.4 -118.94756975685
HF 5.4 8.6 1.6 -118.48962606196
MP2 5.4 8.6 1.6 -118.87289980164
CCSD 5.4 8.6 1.6 -118.87527749116
HF 5.4 8.6 1.8 -118.41212785155
MP2 5.4 8.6 1.8 -118.80314588668
CCSD 5.4 8.6 1.8 -118.80607020443
HF 5.4 8.6 2.0 -118.34684218325
MP2 5.4 8.6 2.0 -118.74145609870
CCSD 5.4 8.6 2.0 -118.74810311285
HF 5.4 8.6 2.2 -118.29424683720
MP2 5.4 8.6 2.2 -118.69128093393
CCSD 5.4 8.6 2.2 -118.70350045284
HF 5.4 8.6 2.4 -118.25241246862
MP2 5.4 8.6 2.4 -118.65407256590
CCSD 5.4 8.6 2.4 -118.67187226872
HF 5.4 8.6 2.6 -118.21880095914
MP2 5.4 8.6 2.6 -118.62777365156
CCSD 5.4 8.6 2.6 -118.65044559161
HF 5.4 8.6 2.8 -118.19143555644
MP2 5.4 8.6 2.8 -118.60976632142
CCSD 5.4 8.6 2.8 -118.63590936607
HF 5.4 8.6 3.2 -118.15054467517
