#method z1 z2 distance energy
MP2 6.9 7.1 4.0 -108.76608809237
CCSD 6.9 7.1 4.0 -108.68374643752
HF 6.9 7.1 4.2 -108.27932711340
MP2 6.9 7.1 4.2 -108.77452031249
CCSD 6.9 7.1 4.2 -108.67959051303
HF 6.9 7.1 4.8 -108.26930508799
MP2 6.9 7.1 4.8 -108.80413038252
CCSD 6.9 7.1 4.8 -108.67011348964
HF 6.9 7.1 5.0 -107.90695945755
MP2 6.9 7.1 5.0 -112.09849450773
HF 6.9 7.1 5.2 -107.89964701654
MP2 6.9 7.1 5.2 -112.32307999378
HF 6.9 7.1 5.4 -108.19670275757
MP2 6.9 7.1 5.4 -109.19714929441
HF 6.9 7.1 5.8 -104.38101287435
MP2 6.9 7.1 5.8 -106.28776740569
HF 6.9 7.1 6.0 -108.25625224336
MP2 6.9 7.1 6.0 -108.87290717343
CCSD 6.9 7.1 6.0 -108.55969397091
HF 6.9 7.1 6.2 -107.87209826979
MP2 6.9 7.1 6.2 -113.44338787045
HF 6.9 7.1 6.4 -108.25307133294
MP2 6.9 7.1 6.4 -108.89726156875
HF 6.9 7.1 6.6 -107.86389902568
MP2 6.9 7.1 6.6 -113.88981127050
HF 6.9 7.1 6.8 -108.18224167130
MP2 6.9 7.1 6.8 -109.41887047963
HF 6.9 7.1 7.0 -107.85676243992
MP2 6.9 7.1 7.0 -114.33563096257
HF 6.9 7.1 7.2 -108.17917922887
MP2 6.9 7.1 7.2 -109.48334922343
HF 6.9 7.1 7.6 -108.17643975873
MP2 6.9 7.1 7.6 -109.54820945124
HF 6.9 7.1 7.8 -107.84487280069
MP2 6.9 7.1 7.8 -115.22663033859
HF 6.9 7.1 8.2 -108.17282787027
MP2 6.9 7.1 8.2 -109.64612368973
HF 6.9 7.1 8.4 -108.17173705101
MP2 6.9 7.1 8.4 -109.67891047027
HF 6.9 7.1 9.0 -104.18016093319
MP2 6.9 7.1 9.0 -104.47673669849
HF 6.9 7.1 9.6 -103.40343015824
MP2 6.9 7.1 9.6 -105.30332842381
HF 6.9 7.1 9.8 -103.04059641415
MP2 6.9 7.1 9.8 -104.82898822695
HF 6.9 7.1 10.0 -104.51126920132
MP2 6.9 7.1 10.0 -103.57387600310
HF 6.8 7.2 0.6 -106.48819365201
MP2 6.8 7.2 0.6 -106.81838982837
CCSD 6.8 7.2 0.6 -106.82825312136
HF 6.8 7.2 0.8 -108.66534804130
MP2 6.8 7.2 0.8 -109.01034197544
CCSD 6.8 7.2 0.8 -109.01834129100
HF 6.8 7.2 1.0 -109.12814345188
MP2 6.8 7.2 1.0 -109.50577555087
CCSD 6.8 7.2 1.0 -109.50649189818
HF 6.8 7.2 1.2 -109.09995047721
MP2 6.8 7.2 1.2 -109.53007932562
CCSD 6.8 7.2 1.2 -109.51333515791
HF 6.8 7.2 1.4 -108.94860320910
MP2 6.8 7.2 1.4 -109.45511404006
CCSD 6.8 7.2 1.4 -109.40427684282
HF 6.8 7.2 1.6 -108.78658291076
MP2 6.8 7.2 1.6 -109.39297541783
CCSD 6.8 7.2 1.6 -109.28826006103
HF 6.8 7.2 1.8 -108.64830260931
MP2 6.8 7.2 1.8 -109.28967528338
CCSD 6.8 7.2 1.8 -109.19369641962
HF 6.8 7.2 4.0 -108.07986831582
MP2 6.8 7.2 4.0 -111.06414750791
HF 6.8 7.2 4.2 -108.43079987208
MP2 6.8 7.2 4.2 -108.81005041856
CCSD 6.8 7.2 4.2 -108.80702606131
HF 6.8 7.2 4.6 -108.04347878266
MP2 6.8 7.2 4.6 -111.71879913113
HF 6.8 7.2 4.8 -108.03426978162
MP2 6.8 7.2 4.8 -111.93962827665
HF 6.8 7.2 5.0 -108.41997207693
MP2 6.8 7.2 5.0 -108.82135725224
CCSD 6.8 7.2 5.0 -108.79609009655
HF 6.8 7.2 5.2 -103.43743012352
MP2 6.8 7.2 5.2 -102.50362012536
HF 6.8 7.2 5.4 -103.39946322660
MP2 6.8 7.2 5.4 -106.23406966530
HF 6.8 7.2 5.6 -102.83485996165
MP2 6.8 7.2 5.6 -621.6995857323
HF 6.8 7.2 5.8 -102.79410200217
MP2 6.8 7.2 5.8 -105.10974803880
HF 6.8 7.2 6.2 -108.40934892326
MP2 6.8 7.2 6.2 -108.84752867650
